site_sys_trt,site,site_sys,sys_trt,cc_trt,blockID,rep,NMDS1,NMDS2
Boyd_grain_no,Boyd,Boyd_grain,grain,no,B42,2,1.3116801289904156,-1.1326308921267276
Boyd_grain_no,Boyd,Boyd_grain,grain,no,B44,3,0.6770805340794525,-0.8684386949913835
Boyd_grain_no,Boyd,Boyd_grain,grain,no,B44,1,0.06181657585363381,-0.25123408685380993
Boyd_grain_no,Boyd,Boyd_grain,grain,no,B42,1,-0.08278096759061696,0.24204289727123549
Boyd_grain_no,Boyd,Boyd_grain,grain,no,B44,5,1.4932789881208484,0.7464790251654808
Boyd_grain_rye,Boyd,Boyd_grain,grain,rye,B44,1,1.1031763608067975,-0.6561031495129124
Boyd_grain_rye,Boyd,Boyd_grain,grain,rye,B42,4,0.9472739816647497,-0.9048876765189958
Boyd_grain_rye,Boyd,Boyd_grain,grain,rye,B42,1,-0.8083504650295558,-0.15074331037971075
Boyd_grain_rye,Boyd,Boyd_grain,grain,rye,B42,2,-0.5151705951240845,-0.0036828903109737683
Boyd_grain_rye,Boyd,Boyd_grain,grain,rye,B42,5,1.1592245048406977,0.5041593584567359
Boyd_grain_rye,Boyd,Boyd_grain,grain,rye,B42,3,1.5367348960649139,0.2021869259986415
Boyd_silage_no,Boyd,Boyd_silage,silage,no,B44,3,0.6026372486974597,-0.5062233413017138
Boyd_silage_no,Boyd,Boyd_silage,silage,no,B44,1,-1.0002104339083926,-0.4516241856637026
Boyd_silage_no,Boyd,Boyd_silage,silage,no,B44,5,-0.882832977456655,0.01936288114760009
Boyd_silage_no,Boyd,Boyd_silage,silage,no,B44,4,-0.6098324260403261,0.10081216471299892
Boyd_silage_no,Boyd,Boyd_silage,silage,no,B44,2,0.2679135314600054,-0.209229584732653
Boyd_silage_rye,Boyd,Boyd_silage,silage,rye,B44,3,0.8955784352697025,-0.34691903801732155
Boyd_silage_rye,Boyd,Boyd_silage,silage,rye,B44,2,0.3151024193655971,-0.4865318267992431
Boyd_silage_rye,Boyd,Boyd_silage,silage,rye,B44,1,-0.18640265743719547,-0.42352424721132714
Boyd_silage_rye,Boyd,Boyd_silage,silage,rye,B44,5,0.133206406181886,0.43361312468929836
Boyd_silage_rye,Boyd,Boyd_silage,silage,rye,B44,4,0.6573904286208004,0.35457137429936614
Funcke_grain_no,Funcke,Funcke_grain,grain,no,F,3,-1.948245318057855,-0.15155298298397335
Funcke_grain_no,Funcke,Funcke_grain,grain,no,F,4,-1.9585076659576868,-0.017477931223269967
Funcke_grain_no,Funcke,Funcke_grain,grain,no,F,2,-1.8596129106852153,0.004355422359348696
Funcke_grain_no,Funcke,Funcke_grain,grain,no,F,1,-1.681141656229932,0.015313283730544172
Funcke_grain_rye,Funcke,Funcke_grain,grain,rye,F,4,-2.1317555210294086,-0.49320299089608655
Funcke_grain_rye,Funcke,Funcke_grain,grain,rye,F,2,-1.597290203832693,0.051163036598733495
Funcke_grain_rye,Funcke,Funcke_grain,grain,rye,F,1,-1.1973689376661625,0.0973452945775441
Funcke_grain_rye,Funcke,Funcke_grain,grain,rye,F,3,-1.3807562718060828,-0.06034121336421603
Stout_grain_no,Stout,Stout_grain,grain,no,S,3,-0.9489583962888605,0.32560508814331857
Stout_grain_no,Stout,Stout_grain,grain,no,S,4,-0.2641637428267874,0.6429672294154807
Stout_grain_no,Stout,Stout_grain,grain,no,S,1,-0.12503647058697429,0.6556665016806269
Stout_grain_no,Stout,Stout_grain,grain,no,S,2,0.9624474935437259,0.7292912358906545
Stout_grain_rye,Stout,Stout_grain,grain,rye,S,4,-0.33009046478532256,0.4813150112556904
Stout_grain_rye,Stout,Stout_grain,grain,rye,S,3,-0.3120811575220779,0.5718130181039462
Stout_grain_rye,Stout,Stout_grain,grain,rye,S,1,0.2560686134519982,0.8590671386253167
Stout_grain_rye,Stout,Stout_grain,grain,rye,S,2,1.1037154185040754,1.1991290933643342
