site,site_sys_trt,site_sys,sys_trt,cc_trt,blockID,rep,NMDS1,NMDS2
Central,Central_grain_B42_no,Central_grain,grain,no,B42,2,1.3098353795347444,-1.1353190911227418
Central,Central_grain_B42_no,Central_grain,grain,no,B42,1,-0.07531304078865907,0.2417374501655602
Central,Central_grain_B42_no,Central_grain,grain,no,B42,3,1.018734831152669,0.2326692138893608
Central,Central_grain_B42_no,Central_grain,grain,no,B42,4,1.4107594564518404,-0.016822723973988474
Central,Central_grain_B42_rye,Central_grain,grain,rye,B42,4,0.9501681809081969,-0.9072055160177189
Central,Central_grain_B42_rye,Central_grain,grain,rye,B42,1,-0.8095938545624539,-0.15210234308131018
Central,Central_grain_B42_rye,Central_grain,grain,rye,B42,2,-0.511262852297689,-0.004420678756695409
Central,Central_grain_B42_rye,Central_grain,grain,rye,B42,5,1.160240878851047,0.5050371969462122
Central,Central_grain_B42_rye,Central_grain,grain,rye,B42,3,1.538154272973897,0.20596790124894618
Central,Central_grain_B44_no,Central_grain,grain,no,B44,3,0.6784042406944761,-0.8688927166286609
Central,Central_grain_B44_no,Central_grain,grain,no,B44,1,0.0605934975929792,-0.2532119263611407
Central,Central_grain_B44_no,Central_grain,grain,no,B44,4,0.23051993685713543,0.16033712863910538
Central,Central_grain_B44_no,Central_grain,grain,no,B44,5,1.496929168677419,0.743614468416604
Central,Central_grain_B44_rye,Central_grain,grain,rye,B44,1,1.1028289998278258,-0.6594790140538381
Central,Central_grain_B44_rye,Central_grain,grain,rye,B44,2,0.91045614552663,-0.6473786633086842
Central,Central_grain_B44_rye,Central_grain,grain,rye,B44,4,0.09973718083956486,-0.007261603533928349
Central,Central_grain_B44_rye,Central_grain,grain,rye,B44,5,0.6009362652134901,0.19662724293615932
Central,Central_silage_B44_no,Central_silage,silage,no,B44,3,0.6015387321933721,-0.5081132778275478
Central,Central_silage_B44_no,Central_silage,silage,no,B44,1,-0.9948380710964755,-0.45391982347782767
Central,Central_silage_B44_no,Central_silage,silage,no,B44,5,-0.8844132319349872,0.014288087803902786
Central,Central_silage_B44_no,Central_silage,silage,no,B44,4,-0.6123113978282912,0.09863596247216505
Central,Central_silage_B44_no,Central_silage,silage,no,B44,2,0.27229969912750346,-0.20152028705109284
Central,Central_silage_B44_rye,Central_silage,silage,rye,B44,3,0.8945970876285408,-0.3527558942844408
Central,Central_silage_B44_rye,Central_silage,silage,rye,B44,2,0.31488985625166005,-0.4880625174766041
Central,Central_silage_B44_rye,Central_silage,silage,rye,B44,1,-0.1896687524417487,-0.42303937192409147
Central,Central_silage_B44_rye,Central_silage,silage,rye,B44,5,0.13107234864116146,0.43462990230700194
Central,Central_silage_B44_rye,Central_silage,silage,rye,B44,4,0.6589181078060824,0.3560782134999175
East,East_grain_S_no,East_grain,grain,no,S,3,-0.9501259931363376,0.3237420318135924
East,East_grain_S_no,East_grain,grain,no,S,4,-0.2630777935192654,0.644170617393103
East,East_grain_S_no,East_grain,grain,no,S,1,-0.12336309113979202,0.6609102832510639
East,East_grain_S_no,East_grain,grain,no,S,2,0.9634120149659314,0.7320060529452654
East,East_grain_S_rye,East_grain,grain,rye,S,4,-0.3316308976744545,0.4816742485239402
East,East_grain_S_rye,East_grain,grain,rye,S,3,-0.31222248476524816,0.5788713048738747
East,East_grain_S_rye,East_grain,grain,rye,S,1,0.2604562518666015,0.8380761384762456
East,East_grain_S_rye,East_grain,grain,rye,S,2,1.10438879492204,1.1988281568973569
West,West_grain_F_no,West_grain,grain,no,F,3,-1.9490076511147525,-0.1551677207609423
West,West_grain_F_no,West_grain,grain,no,F,4,-1.9596907047974,-0.021624001890028544
West,West_grain_F_no,West_grain,grain,no,F,2,-1.8627370475891687,0.007362428793067911
West,West_grain_F_no,West_grain,grain,no,F,1,-1.6827370256657492,0.016259337350612458
West,West_grain_F_rye,West_grain,grain,rye,F,4,-2.134079688711129,-0.4869475149526158
West,West_grain_F_rye,West_grain,grain,rye,F,2,-1.5963639024595577,0.05664123286925856
West,West_grain_F_rye,West_grain,grain,rye,F,1,-1.1976271233709868,0.09695168192411605
West,West_grain_F_rye,West_grain,grain,rye,F,3,-1.3768627322049356,-0.06651833413651989
