contrast,site_sys,ratio,std.error,df,z.ratio,p.value,loo,SE,asymp.LCL,asymp.UCL
ccrye / no,Central_B42_grain,2.3300256084623836,0.8260711687178988,Inf,2.385896528144922,0.017037543952095183,0,0.8260711687178988,1.3004680347353474,4.174665728862253
ccrye / no,Central_B44_grain,0.8365411380216489,0.2875831163161279,Inf,-0.5191734262107808,0.6036398084108561,0,0.2875831163161279,0.4752370866092985,1.4725304386395148
ccrye / no,Central_B44_silage,0.3884807594158448,0.1296666180274829,Inf,-2.832749738262149,0.004614950109141857,0,0.1296666180274829,0.22435429439209556,0.6726739991549217
ccrye / no,East_S_grain,0.6530818374469103,0.25578160018261825,Inf,-1.0878318312029478,0.27666935445789415,0,0.25578160018261825,0.3429176182755157,1.2437852815726433
ccrye / no,West_F_grain,0.6994261046529294,0.2503717220276557,Inf,-0.9986807802013324,0.317949354115302,0,0.2503717220276557,0.3881749826417689,1.260248335790951
ccrye / no,Central_B42_grain,2.634123218411072,1.08497777888187,Inf,2.3514592644885397,0.01869993704340108,1,1.08497777888187,1.3378263200695717,5.1864767688316
ccrye / no,Central_B44_grain,0.839364111907139,0.30025130613444234,Inf,-0.4895286724859816,0.6244674603490767,1,0.30025130613444234,0.466034357959712,1.511760024394094
ccrye / no,Central_B44_silage,0.3885329522979888,0.1352116846187199,Inf,-2.7165568708336925,0.006596486112598393,1,0.1352116846187199,0.2191945160494526,0.6886935756519272
ccrye / no,East_S_grain,0.6539593825425696,0.26604954256018004,Inf,-1.0439526037353426,0.2965073186066317,1,0.26604954256018004,0.334913180762668,1.276936527375782
ccrye / no,West_F_grain,0.699391453611691,0.26189202874851003,Inf,-0.9548350535686864,0.3396611175929155,1,0.26189202874851003,0.3777692814868252,1.2948337235359175
ccrye / no,Central_B42_grain,2.001124425931172,0.7622058767250017,Inf,1.8212907275183008,0.06856267520062714,2,0.7622058767250017,1.069512476401656,3.7442283810763795
ccrye / no,Central_B44_grain,0.8348883712795884,0.28027509995588673,Inf,-0.5375492139478144,0.5908882999213796,2,0.28027509995588673,0.48063810697538223,1.4502358060710017
ccrye / no,Central_B44_silage,0.38843455035060725,0.12643595954377804,Inf,-2.9051513091063157,0.003670756000837163,2,0.12643595954377804,0.2274027463518326,0.6634985826980205
ccrye / no,East_S_grain,0.6523821963649596,0.2498043931921283,Inf,-1.1154669662839451,0.2646503666225419,2,0.2498043931921283,0.34751153100486626,1.2247148429961277
ccrye / no,West_F_grain,0.6994781079945298,0.2436634109574758,Inf,-1.0260383837651748,0.30487349178170337,2,0.2436634109574758,0.3943935376806675,1.2405619687403673
ccrye / no,Central_B42_grain,2.4267892580802637,0.9385522500730021,Inf,2.2923778038989804,0.02188385170021045,3,0.9385522500730021,1.2845747229142754,4.5846348975113465
ccrye / no,Central_B44_grain,0.8367883858639026,0.2874972072754622,Inf,-0.5186219286984138,0.6040244140772566,3,0.2874972072754622,0.4755372762999346,1.4724709031539107
ccrye / no,Central_B44_silage,0.3883935658000978,0.12954507067927978,Inf,-2.835444201807084,0.004576200821791523,3,0.12954507067927978,0.22439177118704412,0.6722597765368707
ccrye / no,East_S_grain,0.652582865526807,0.2555141205456095,Inf,-1.0900906720058272,0.2756732048802024,3,0.2555141205456095,0.34271785829398427,1.2426092952934804
ccrye / no,West_F_grain,0.6994291748550734,0.25017609725286155,Inf,-0.9994538119908438,0.31757490306454,3,0.25017609725286155,0.3883563130498744,1.2596709624638533
ccrye / no,Central_B42_grain,2.0147134638997737,0.7729963031543302,Inf,1.8257013708229788,0.0678952565952983,4,0.7729963031543302,1.07185078322419,3.78697334101777
ccrye / no,Central_B44_grain,0.8367634242042967,0.28878802793145125,Inf,-0.5163748328421779,0.6055926397855753,4,0.28878802793145125,0.4743100276580895,1.476192758443694
ccrye / no,Central_B44_silage,0.38851467014821445,0.13021346820941274,Inf,-2.8208389969893926,0.004789823576922585,4,0.13021346820941274,0.22386573663366655,0.6742597200900814
ccrye / no,East_S_grain,0.6532917706036505,0.2568216499903171,Inf,-1.0829571504058857,0.2788274428973163,4,0.2568216499903171,0.34220159476138395,1.2471892126512505
ccrye / no,West_F_grain,0.6994415149229735,0.2514959817496919,Inf,-0.9941770187027333,0.32013669435147757,4,0.2514959817496919,0.38716360075615824,1.2635961434449556
ccrye / no,Central_B42_grain,2.7626776383821,1.0485043978346489,Inf,2.6775605703841796,0.007416044234715813,5,1.0485043978346489,1.4798456493730487,5.157556625483229
ccrye / no,Central_B44_grain,0.8343247617331967,0.27813669373532157,Inf,-0.5433420865010649,0.586894292077742,5,0.27813669373532157,0.48216294557983586,1.4436982651249721
ccrye / no,Central_B44_silage,0.38842793945128623,0.12550335887237274,Inf,-2.9267420096276835,0.0034253289208224084,5,0.12550335887237274,0.22829662207604856,0.6608782152550345
ccrye / no,East_S_grain,0.652249272218904,0.24808750808448876,Inf,-1.1234934245907824,0.2612279916512507,5,0.24808750808448876,0.348903503461932,1.2193317318079253
ccrye / no,West_F_grain,0.6994881085653015,0.24171880572573978,Inf,-1.0342661812368068,0.3010117422999973,5,0.24171880572573978,0.396210044508155,1.2349096667441815
ccrye / no,Central_B42_grain,1.7304071475556586,0.692475559235047,Inf,1.3702727638845291,0.17060177174381408,6,0.692475559235047,0.895939881793669,3.3420868488598963
ccrye / no,Central_B44_grain,0.8376944172517045,0.29615678683178165,Inf,-0.5009416679673301,0.6164121763391444,6,0.29615678683178165,0.46831219577325506,1.498427636581204
ccrye / no,Central_B44_silage,0.3887087209962063,0.13363091638065966,Inf,-2.74861985610878,0.0059846750057381114,6,0.13363091638065966,0.22082263406863964,0.6842345234028
