cc_trt,site_sys,estimate,std.error,df,asymp.LCL,asymp.UCL,model
ccrye,Boyd_B42_grain,3.4351601041941047,0.31984936014610815,Inf,2.808266877829552,4.0620533305586575,pois_full
no,Boyd_B42_grain,2.589275506374843,0.3300094339608348,Inf,1.9424689012531577,3.2360821114965286,pois_full
ccrye,Boyd_B44_grain,3.1489862377358837,0.3188935907270852,Inf,2.5239662850101405,3.774006190461627,pois_full
no,Boyd_B44_grain,3.327463668033994,0.3188171664262736,Inf,2.7025935041853857,3.9523338318826027,pois_full
ccrye,Boyd_B44_silage,3.407128389074237,0.3167335938747493,Inf,2.786341952385792,4.027914825762682,pois_full
no,Boyd_B44_silage,4.35265274228037,0.3101866198911348,Inf,3.74469813880753,4.960607345753209,pois_full
ccrye,Funcke_F_grain,5.662617037975521,0.3426960970000927,Inf,4.990945030212895,6.3342890457381475,pois_full
no,Funcke_F_grain,6.020066901204074,0.3420908588586781,Inf,5.34958113840069,6.690552664007458,pois_full
ccrye,Stout_S_grain,2.897261450055346,0.36493145022345064,Inf,2.1820089507914116,3.612513949319281,pois_full
no,Stout_S_grain,3.3233311107669445,0.357723488386572,Inf,2.622205957105231,4.0244562644286574,pois_full
