year,location,crop_sys,cc_trt,ccbio_Mgha
2008,boyd,grain,rye,0.890684210526316
2008,boyd,silage,rye,1.48725
2009,boyd,grain,rye,0.1981578947368421
2009,boyd,silage,rye,1.3445263157894736
2009,funcke,grain,rye,0.1373318385650224
2010,boyd,grain,rye,0.8630526315789474
2010,boyd,silage,rye,1.5915921052631579
2010,funcke,grain,rye,2.108744394618834
2010,stout,grain,rye,2.1137892376681613
2011,boyd,grain,rye,0.27618421052631575
2011,boyd,silage,rye,1.7212894736842108
2011,funcke,grain,rye,0.20627802690582958
2011,stout,grain,rye,1.4637518684603885
2012,boyd,grain,rye,1.3664473684210525
2012,boyd,silage,rye,3.324434210526316
2012,funcke,grain,rye,1.32707399103139
2012,stout,grain,rye,0
2013,boyd,grain,rye,0.25052631578947365
2013,boyd,silage,rye,1.2623684210526314
2013,funcke,grain,rye,0
2013,stout,grain,rye,0.9248878923766816
2014,boyd,grain,rye,0.47236842105263155
2014,boyd,silage,rye,0.9130263157894737
2014,funcke,grain,rye,0
2014,stout,grain,rye,0
2015,boyd,grain,rye,0.6136842105263157
2015,boyd,silage,rye,1.759078947368421
2015,funcke,grain,rye,0.0390134529147982
2015,stout,grain,rye,0.35646860986547085
2016,boyd,grain,rye,2.2223684210526318
2016,boyd,silage,rye,4.231315789473684
2016,funcke,grain,rye,0.4471973094170403
2016,stout,grain,rye,0.5092376681614349
2017,boyd,grain,rye,2.7573684210526315
2017,boyd,silage,rye,2.2132894736842106
2017,funcke,grain,rye,0.6277970852017937
2017,stout,grain,rye,7.301473094170403
2018,funcke,grain,rye,0.09225056053811657
2018,stout,grain,rye,0.19260538116591927
2019,boyd,grain,rye,1.2914648437499998
2019,boyd,silage,rye,2.052942708333333
2019,funcke,grain,rye,0
2019,stout,grain,rye,0.3002914798206278
