year,treatment,location,cc_trt,crop_sys,ccbio_Mgha
2019,3,boyd,rye,silage,2.052942708333333
2019,5,boyd,rye,grain,1.2914648437499998
2008,3,boyd,rye,silage,1.48725
2009,3,boyd,rye,silage,1.3445263157894736
2010,3,boyd,rye,silage,1.5915921052631579
2011,3,boyd,rye,silage,1.7212894736842108
2012,3,boyd,rye,silage,3.324434210526316
2013,3,boyd,rye,silage,1.2623684210526314
2014,3,boyd,rye,silage,0.9130263157894737
2015,3,boyd,rye,silage,1.759078947368421
2016,3,boyd,rye,silage,4.231315789473684
2017,3,boyd,rye,silage,2.2132894736842106
2008,5,boyd,rye,grain,0.890684210526316
2009,5,boyd,rye,grain,0.1981578947368421
2010,5,boyd,rye,grain,0.8630526315789474
2011,5,boyd,rye,grain,0.27618421052631575
2012,5,boyd,rye,grain,1.3664473684210525
2013,5,boyd,rye,grain,0.25052631578947365
2014,5,boyd,rye,grain,0.47236842105263155
2015,5,boyd,rye,grain,0.6136842105263157
2016,5,boyd,rye,grain,2.2223684210526318
2017,5,boyd,rye,grain,2.7573684210526315
