id	Crop	Rotation	Herbicide	Herbicide_hist	Biomass	Seed	Block
40	S	3-year	c	l	1137	609333.6667	1
57	S	3-year	c	l	7.3	10942	1
62	S	3-year	c	l	0.4983	0	1
63	S	3-year	c	l	179.3	185686	1
2	S	3-year	c	c	66.7	20796.33333	1
4	S	3-year	c	c	288.1	359927.3333	1
5	S	3-year	c	c	38	42347.66667	1
6	S	3-year	c	c	21.9	13304	1
8	S	3-year	c	c	211.4	242659	1
11	S	3-year	c	c	222.9	258564.3333	1
17	S	3-year	c	c	1192.4	610848	1
19	S	3-year	c	c	61.1	66643.33333	1
33	S	3-year	c	c	470.6	1034184	1
35	S	3-year	c	c	1347.2	1842783.667	1
38	S	3-year	c	c	829	1571599	1
39	S	3-year	c	c	1436.4	971789.3333	1
42	S	3-year	c	c	391.9	696770.3333	1
49	S	3-year	c	c	76.9	75301.33333	1
50	S	3-year	c	c	591.2	774124	1
58	S	3-year	c	c	69.5	86373.66667	1
60	S	3-year	c	c	355.8	304798.6667	1
61	S	3-year	c	c	34.9	35536.66667	1
81	S	3-year	c	c	2.6	1647.333333	1
1	A	4-year	c	c	0.5967	13	1
6	A	4-year	c	c	0.7906	0	1
18	A	4-year	c	c	0.4608	5	1
2	A	4-year	l	l	0.2264	0	1
22	A	4-year	l	l	2.1012	27	1
23	A	4-year	l	l	0.2044	21	1
24	A	4-year	l	l	0.015	0	1
25	A	4-year	l	l	0.0292	0	1
26	A	4-year	l	l	0.1347	0	1
27	A	4-year	l	l	0.0587	2	1
38	C	2-year	c	c	12.8	9222	1
42	C	2-year	c	c	9.3	5051.666667	1
50	C	2-year	c	c	3.8	2704	1
51	C	2-year	c	c	0.9241	196	1
63	C	2-year	c	c	2.3	1573.666667	1
95	C	2-year	c	c	0.9337	255	1
3	C	2-year	l	l	0.2195	62	1
13	C	2-year	l	l	0.234	33	1
37	C	2-year	l	l	29.7	14652.66667	1
40	C	2-year	l	l	2.6	2458	1
44	C	2-year	l	l	0.5842	655	1
64	C	2-year	l	l	2.6	2199.333333	1
80	C	2-year	l	l	1.6	30	1
89	C	2-year	l	l	0.7676	963	1
93	C	2-year	l	l	1.0929	147	1
9	S	4-year	c	c	3.7	1541.333333	1
13	S	4-year	c	c	30.3	32440.66667	1
24	S	4-year	c	c	24.2	19243	1
9	S	4-year	c	l	5	4202.333333	1
18	S	4-year	c	l	15.1	20303.33333	1
1	C	3-year	c	c	0.5488	319	1
2	C	3-year	c	c	1.6414	889	1
3	C	3-year	c	c	7	7964.333333	1
17	C	3-year	c	c	0.175	124	1
18	C	3-year	c	c	0.3047	95	1
23	C	3-year	c	c	0.4442	186	1
100	C	3-year	c	c	39.3	35264	1
2	C	3-year	c	c	0.4072	401	1
4	C	3-year	c	c	0.4286	227	1
59	C	3-year	c	c	1.1626	93	1
101	C	3-year	c	c	0.2908	2	1
1	O	3-year	l	l	1.4544	162	1
7	O	3-year	l	l	0.6819	187	1
13	O	3-year	l	l	0.447	63	1
14	O	3-year	l	l	0.891	331	1
15	O	3-year	l	l	0.1863	59	1
16	O	3-year	l	l	0.076	33	1
17	O	3-year	l	l	0.3857	135	1
18	O	3-year	l	l	0.4914	158	1
1	O	3-year	c	c	0.8144	673	1
2	O	3-year	c	c	0.3335	179	1
4	O	3-year	c	c	2.9989	895	1
9	O	3-year	c	c	11.6	10660.66667	1
10	O	3-year	c	c	1.2167	303	1
12	O	3-year	c	c	2.7945	1734	1
16	O	3-year	c	c	0.5542	42	1
17	O	3-year	c	c	1.673	57	1
2	O	4-year	c	c	0.4666	265	1
19	O	4-year	c	c	0.8214	215	1
25	O	4-year	c	c	1.9072	673	1
27	O	4-year	c	c	0.3682	272	1
1	O	4-year	l	l	1.9987	1938	1
4	O	4-year	l	l	1.1985	533	1
10	O	4-year	l	l	0.564	350	1
11	O	4-year	l	l	0.5856	58	1
21	O	4-year	l	l	0.1861	100	1
31	O	4-year	l	l	1.1339	678	1
41	O	4-year	l	l	0.555	213	1
6	C	4-year	c	c	8.2	11697	1
22	C	4-year	c	c	0.7135	685	1
24	C	4-year	c	c	0.6384	284	1
1	C	4-year	l	l	0.5794	96	1
2	C	4-year	l	l	0.8344	545	1
3	C	4-year	l	l	1.6008	1526	1
4	C	4-year	l	l	0.4668	149	1
6	C	4-year	l	l	0.5444	318	1
12	C	4-year	l	l	4.8	2781	1
22	S	2-year	c	c	5	878	1
53	S	2-year	c	c	5.6	4570.333333	1
3	S	2-year	c	l	6.3	6015.333333	1
17	S	2-year	c	l	14.4	12909.33333	1
21	S	2-year	c	l	22.2	30509.66667	1
40	S	2-year	c	l	32.1	52875.33333	1
44	S	2-year	c	l	2	2037.333333	1
1	A	4-year	l	l	0.2207	13	2
2	A	4-year	l	l	0.0342	3	2
3	A	4-year	l	l	0.1905	3	2
3	A	4-year	l	l	0.2858	0	2
22	A	4-year	l	l	0.0539	2	2
24	A	4-year	l	l	0.3569	0	2
31	A	4-year	l	l	0.1442	10	2
33	A	4-year	l	l	0.0555	0	2
34	A	4-year	l	l	0.061	0	2
1	A	4-year	c	c	0.1381	0	2
3	A	4-year	c	c	0.0156	4	2
8	A	4-year	c	c	0.055	7	2
10	A	4-year	c	c	0.1003	3	2
11	A	4-year	c	c	0.0479	0	2
16	A	4-year	c	c	0.0545	6	2
33	A	4-year	c	c	0.1459	5	2
42	A	4-year	c	c	0.5553	26	2
1	A	4-year	c	c	0.6726	306	2
3	A	4-year	c	c	1.8295	1075	2
13	O	4-year	l	l	0.9299	791	2
32	O	4-year	l	l	1.1239	888	2
1	O	4-year	c	c	0.475	366	2
4	O	4-year	c	c	0.2729	24	2
10	O	4-year	c	c	0.614	158	2
11	O	4-year	c	c	0.299	279	2
18	O	4-year	c	c	1.404	630	2
29	O	4-year	c	c	2.47	973	2
30	O	4-year	c	c	0.2987	109	2
2	S	3-year	c	l	48.7	40234.33333	2
27	S	3-year	c	l	9.5	53431	2
39	S	3-year	c	l	37	32381	2
65	S	3-year	c	l	54.6	62833	2
13	S	3-year	c	c	53.5	76226.33333	2
23	S	3-year	c	c	36.6	54809	2
1	C	2-year	c	c	9.6	2515	2
3	C	2-year	c	c	10.3	10306	2
7	C	2-year	c	c	1.0739	361	2
8	C	2-year	c	c	13.2	14130	2
10	C	2-year	c	c	0.3794	45	2
1	C	2-year	l	l	0.7626	398	2
3	C	2-year	l	l	1.6032	1281	2
4	C	2-year	l	l	3.5	3525.666667	2
6	C	2-year	l	l	7.8	5985	2
7	C	2-year	l	l	2.7128	1241	2
13	C	2-year	l	l	0.0105	156	2
14	C	2-year	l	l	1.0643	480	2
22	C	2-year	l	l	1.6466	215	2
113	C	2-year	l	l	0.1101	14	2
1	O	3-year	c	c	0.8382	446	2
2	O	3-year	c	c	0.2501	242	2
4	O	3-year	c	c	1.3164	1524	2
5	O	3-year	c	c	0.7928	295	2
9	O	3-year	c	c	0.6632	255	2
10	O	3-year	c	c	0.3556	115	2
11	O	3-year	c	c	0.9415	285	2
1	O	3-year	l	l	0.6555	502	2
1	O	3-year	l	l	0.3381	140	2
6	O	3-year	l	l	0.4984	334	2
7	O	3-year	l	l	0.3202	21	2
8	O	3-year	l	l	0.5747	295	2
9	O	3-year	l	l	0.4496	482	2
19	O	3-year	l	l	1.8038	897	2
2	C	3-year	l	l	0.0438	138	2
